make,model,price,fuel,year,kms,power,doors,shift,is_professional,province,link
FORD,Ecosport,19624,Gasolina,2021,0,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-ecosport-10-ecoboost-active-125-en-salamanca.htm?id=6628536
FORD,Ecosport,19510,Gasolina,2019,0,125,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-ecosport-10-ecoboost-trend-125-en-salamanca.htm?id=6512221
FORD,Ecosport,20152,Gasolina,2021,0,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-ecosport-10-ecoboost-active-125-en-salamanca.htm?id=6628538
FORD,Mustang,50641,Gasolina,2021,0,455,2,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-mustang-fastback-50-ti-vct-gt-en-salamanca.htm?id=6590783
FORD,Focus,21500,Gasolina,2019,37872,124,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-10-ecoboost-active-125-en-salamanca.htm?id=6533909
FORD,Fiesta,17800,Gasolina,2021,0,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-fiesta-10-ecoboost-mhev-trend-125-en-salamanca.htm?id=6846261
FORD,Puma,20504,Gasolina,2021,15230,125,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-puma-10-ecoboost-mhev-st-line-125-en-salamanca.htm?id=6813037
FORD,Focus,19850,Gasolina,2021,0,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-focus-10-ecoboost-mhev-trend+-125-en-salamanca.htm?id=6766019
FORD,Focus,20800,Gasolina,2019,20303,124,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-10-ecoboost-active-125-en-salamanca.htm?id=6738851
FORD,Ecosport,20196,Gasolina,2021,0,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-ecosport-10-ecoboost-active-125-en-salamanca.htm?id=6637554
FORD,Ecosport,20100,Gasolina,2021,1250,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-ecosport-10-ecoboost-active-125-en-salamanca.htm?id=6846263
FORD,Kuga,27200,Diésel,2021,31230,150,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-20-ecoblue-mehv-st-line-x-fwd-150-en-salamanca.htm?id=6916319
FORD,Kuga,27242,Gasolina,2020,0,150,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-kuga-15-ecoboost-st-line-x-fwd-150-en-salamanca.htm?id=6910198
